job_id,industry_id
115639136,128
115639136,46
3780003361,112
3821190632,69
3658924039,122
3846437219,90
3880157614,75
3883417521,57
3251984218,96
3792953441,116
3531344675,78
3514667133,19
3744936604,130
3857541512,96
3701198910,13
3548616699,139
3862705834,34
3863610227,6
3783979663,67
3663813835,54
844454682,44
844454682,128
1143359956,31
1143359956,99
1143359956,24
3447180215,42
3842528795,104
3870363142,57
3699237531,15
3682650399,14
3478651125,7
1826257634,14
1826257634,132
1826257634,42
3814723048,116
3813135937,98
3867562444,10
3838732090,28
3850493836,1
3729754558,4
3878814926,100
3838581744,96
3757672875,14
3748720888,104
3872794626,4
3625991523,96
3867762229,27
3814570200,3130
3438939828,9
10998357,32
3766973763,96
3875677847,6
3883315711,80
3872787865,96
3260455681,61
3260455681,298
3260455681,201
3814998643,10
2796728000,48
3864701312,22
175485704,6
3773564741,4
3852727765,92
227832999,44
3862373833,96
3728879926,1862
3761942097,69
3826177405,75
3873178671,48
3862121382,96
3860829339,96
3679026145,80
3779260325,27
3880088143,9
3872015321,78
3691624158,39
3831143681,3217
3794063618,86
2987175317,48
3831190800,10
3831190800,9
3692329268,25
3713452241,43
3599918756,135
3699945651,86
2195921577,94
228003844,40
3882362301,96
3872781436,50
3708903045,9
3783977901,104
3706460061,11
3880108413,96
3574102287,27
3606634863,73
3874150857,53
3859073094,80
3586167732,4
3636873993,840
3862132028,48
3610591138,13
3854391822,116
3747072157,48
3787839455,116
3845186343,47
3879240957,96
3870701883,19
921716,44
3840166122,96
345332937,91
3875735534,1999
3866388732,3132
3812656624,139
1093227543,34
3878233948,105
3881984061,96
3819416106,4
3773070651,16
3838774352,6
3868035218,68
3811513595,1594
3790001722,43
2011147642,24
3475821770,43
3882935322,104
3881051293,68
3117273910,44
3832947295,88
3720358336,9
1183148438,69
3878329666,100
3844838697,42
3868434254,3206
3860323934,96
3867763161,88
3635014033,9
3832103385,3202
3862537464,100
3480552482,19
3863046603,4
3792362600,4
3837546918,94
3859078474,4
3693886408,34
35982263,122
3803659249,4
3880169314,96
3808735054,2353
3871636939,32
3871131511,128
3739478140,12
3836602983,1923
3520238337,103
3845468619,1292
3377655935,25
3814983923,100
3884290980,143
3879228554,50
3862154961,124
3882358050,82
3758935273,48
111513530,126
3540371917,41
91700727,3202
3527189387,27
3865391975,3126
3578562287,124
3704185899,51
3702659694,96
3857848893,3231
3127577086,14
3765212611,88
3606129051,104
3852348626,99
3861708950,14
3816172762,47
3040487795,80
3830396637,86
3865179969,43
3863028624,96
3840910043,25
3791290709,98
3882347932,44
3802026770,9
3776631402,126
3190494363,48
3815485980,1862
3880380418,52
3743875708,68
3862682461,146
3820446027,96
3881931499,96
3881987723,96
3738844984,47
3861743053,124
3875066415,11
280496925,68
3816831972,75
3876991427,31
3884427312,31
3483544074,48
3843083239,4
3211657373,48
3789379757,27
3788980998,42
3851783898,122
3700617207,124
3741582728,26
3741582728,49
3741582728,60
3849987120,784
3803055615,43
3849913605,96
3681437990,27
3681437990,34
3681437990,23
3177010992,1737
3177010992,34
3177010992,43
3873789262,4
3530975184,100
3458210342,100
3363439517,25
3803052628,1
3649948789,99
266566927,44
3804603307,48
3789402808,15
3875732985,4
3723312535,53
3847143087,80
3859514569,104
134286190,48
3644730777,11
3865209247,80
3835341430,96
3609090859,100
3854810848,9
263583866,14
3813645405,6
3830297838,50
3431736996,110
3748909502,9
83789755,3207
3882279550,13
3592869068,9
3818311020,3222
136743465,9
2954591060,27
3871530154,96
3871530154,6
3871530154,8
3780415828,43
3825550267,13
3784435614,56
3884249830,96
3322949022,44
1014822088,4
3867756254,11
3862123581,43
3715891138,30
3727712512,80
3835671506,50
2748500131,75
3771168117,80
3873209956,27
3873209956,91
3873209956,34
3861166245,9
258868844,80
258868844,110
3848962376,124
3865681931,104
3728459637,104
3816179292,44
3366698309,96
121605673,125
121605673,124
3840688146,100
3708944827,14
3864172721,146
3581219846,124
2974397965,3231
3566954493,14
3728884217,100
3866756779,11
3795134838,96
3846960909,32
3846960909,34
3864160493,57
3795156313,134
3883345359,98
3840554223,67
3868450640,84
705356075,44
3880063171,3235
3798453023,124
3843043188,137
3815284050,1862
3863616352,48
3731003001,15
3660449148,104
3869757186,96
3865457964,19
3873183002,68
3873183002,14
3873183002,2081
3860823414,96
3861222472,4
3764329709,14
3736684097,3231
3635916819,13
3880190130,104
3879283271,3231
3273249702,43
2838336689,43
3881986862,12
3614817348,135
2558399667,15
2558399667,12
2558399667,17
3045980831,48
3854900554,19
3196627399,100
3792245483,92
3736083076,9
3690117793,90
3865441576,137
3833894876,48
658723396,41
3841949093,3197
3830313052,3241
1168783207,133
1168783207,61
1168783207,49
3844070064,75
3709767981,19
3824661875,98
634823509,48
3784367296,67
2269442456,3089
2234533717,11
3651735073,88
3511440340,69
3869490625,3134
3865549440,14
3859082046,139
3722423668,4
3854915769,13
3854915769,14
3854915769,124
3815847830,1
3845412777,137
1880409118,14
3798658570,112
3880591550,86
3478606637,50
2428973832,23
103860943,92
3861757344,100
2457183642,25
2457183642,91
3878383329,96
3800989742,96
3748229910,68
3874052166,137
3876429995,4
3853717462,96
857299959,8
3466187886,48
2157930553,42
133130219,96
3583960568,95
3866244801,100
3844017709,55
3756640753,44
3651779099,53
3875731325,51
3854654152,104
3626110567,55
3875199851,30
3880180438,435
3666781416,96
3245063922,96
69333422,104
3872034277,3194
3820392998,34
3855856223,139
3475933396,42
3829280858,4
3880115287,48
3742627219,2074
3878193413,96
3878310231,4
3873176840,96
3880374275,100
3767020403,14
3778723781,14
3499072207,9
3831148511,9
3761818635,53
3862107843,4
3864501161,123
3864519762,96
3829182727,96
3726732147,135
3880134115,96
229924287,17
3833295504,96
3855897428,26
3713898217,14
3855427832,96
3189117072,43
3797449314,96
3797449314,53
3802602037,53
445337908,100
3550388220,57
2790549389,34
1755471110,139
3829242915,16
3878348967,3225
3836372583,49
3627141928,53
3835341304,100
3870707329,43
3878803731,32
3694149664,55
3864568838,32
3829184899,6
3715249215,81
3860378018,100
3691793998,27
3833402351,50
3551631423,100
3704190127,99
3704190127,133
3704190127,19
3835918209,14
3864169730,3221
3801646969,11
3744106614,17
3868493438,14
3823861441,92
3769551683,14
3816415678,31
3873486781,14
3700068571,96
3826266913,31
2989631782,43
3580545157,48
3839567678,57
3422171886,53
3812814309,15
2372177891,43
3594710940,11
3868004859,13
3834087866,14
3862982513,14
3848881977,59
3700064749,10
3848497987,14
3848497987,42
3875765946,139
3752057112,98
3765433504,108
3514683108,3217
3844096324,124
3537193915,44
3715436359,30
3870389946,43
3870389946,4
3859513039,131
3785146504,13
3818831254,96
3809698192,104
