job_id,inferred,type
3825550267,0,Medical insurance
3825550267,0,Vision insurance
3784435614,0,Medical insurance
3784435614,0,Vision insurance
3784435614,0,Dental insurance
3784435614,0,401(k)
3784435614,0,Paid maternity leave
3784435614,0,Paid paternity leave
3784435614,0,Tuition assistance
3852117411,0,Medical insurance
3852117411,0,Vision insurance
3852117411,0,Child care support
3852117411,0,Paid paternity leave
3852117411,0,Disability insurance
3852117411,1,Dental insurance
3322949022,0,Medical insurance
3322949022,0,Vision insurance
3322949022,0,Dental insurance
3322949022,0,401(k)
1014822088,1,401(k)
3835671506,1,Dental insurance
3835671506,1,Disability insurance
3835671506,1,401(k)
3835671506,1,Paid paternity leave
2748500131,0,Medical insurance
2748500131,0,Dental insurance
2748500131,0,Vision insurance
2748500131,0,Pension plan
2748500131,0,Tuition assistance
2748500131,0,Disability insurance
3861166245,1,Dental insurance
3861166245,1,401(k)
3708944827,0,Medical insurance
3708944827,0,Vision insurance
3708944827,0,Dental insurance
3708944827,0,401(k)
3864172721,0,Vision insurance
3864172721,0,Medical insurance
3864172721,0,Dental insurance
3864172721,0,401(k)
2974397965,1,401(k)
2974397965,1,Medical insurance
3728884217,0,Medical insurance
3728884217,0,Vision insurance
3728884217,0,Dental insurance
3728884217,0,401(k)
3846960909,0,Medical insurance
3846960909,0,Vision insurance
3846960909,0,Dental insurance
3846960909,0,401(k)
3846960909,0,Commuter benefits
3864160493,0,Medical insurance
3864160493,0,Vision insurance
3864160493,0,Dental insurance
3864160493,0,401(k)
3798453023,0,Medical insurance
3798453023,0,Vision insurance
3798453023,0,Dental insurance
3798453023,0,401(k)
3815284050,0,Medical insurance
3815284050,0,Vision insurance
3815284050,0,Dental insurance
3815284050,0,401(k)
3863616352,1,Vision insurance
3731003001,1,401(k)
3869757186,0,Medical insurance
3861222472,1,401(k)
3273249702,0,Medical insurance
3273249702,0,401(k)
3273249702,0,Dental insurance
3273249702,0,Disability insurance
3273249702,0,Vision insurance
2838336689,0,Medical insurance
2838336689,0,Vision insurance
2838336689,0,Dental insurance
2838336689,0,401(k)
3881986862,1,401(k)
3881986862,1,Medical insurance
3614817348,0,Dental insurance
3614817348,0,401(k)
3614817348,0,Vision insurance
3614817348,0,Medical insurance
3614817348,0,Tuition assistance
3792245483,0,Medical insurance
3792245483,0,Vision insurance
3792245483,0,Dental insurance
3792245483,0,401(k)
3792245483,0,Disability insurance
658723396,1,Medical insurance
658723396,1,Dental insurance
658723396,1,Vision insurance
658723396,1,401(k)
3830313052,0,Medical insurance
3830313052,0,Vision insurance
3830313052,0,Dental insurance
3830313052,0,401(k)
3830313052,0,Pension plan
3844070064,0,Medical insurance
3844070064,0,Vision insurance
3844070064,0,Dental insurance
3844070064,0,Pension plan
3784367296,0,Medical insurance
3784367296,0,Vision insurance
3784367296,0,Dental insurance
3784367296,0,401(k)
3784367296,0,Paid maternity leave
3784367296,0,Paid paternity leave
3651735073,0,Medical insurance
3651735073,0,Vision insurance
3651735073,0,Dental insurance
3651735073,0,401(k)
3651735073,0,Disability insurance
3651735073,1,Pension plan
3511440340,0,Medical insurance
3511440340,0,Vision insurance
3511440340,0,Dental insurance
3511440340,0,Child care support
3815847830,1,Medical insurance
3815847830,1,Disability insurance
3861757344,1,401(k)
3748229910,0,Child care support
3748229910,0,401(k)
3748229910,1,Dental insurance
3748229910,1,Medical insurance
3748229910,1,Vision insurance
3583960568,0,Medical insurance
3583960568,0,401(k)
3866244801,1,401(k)
3844017709,0,Medical insurance
3844017709,0,Vision insurance
3844017709,0,Dental insurance
3844017709,0,401(k)
3844017709,0,Tuition assistance
3651779099,0,Medical insurance
3651779099,0,Vision insurance
3651779099,0,Dental insurance
3651779099,0,401(k)
3854654152,1,Medical insurance
3626110567,0,Medical insurance
3626110567,0,Vision insurance
3626110567,0,Dental insurance
3626110567,0,401(k)
3626110567,0,Tuition assistance
3880180438,0,Commuter benefits
69333422,0,Medical insurance
69333422,0,Vision insurance
69333422,0,Dental insurance
69333422,0,401(k)
3855856223,1,Medical insurance
3855856223,1,401(k)
3475933396,0,Medical insurance
3475933396,0,Vision insurance
3475933396,0,Dental insurance
3829280858,0,Medical insurance
3829280858,0,Vision insurance
3829280858,0,Dental insurance
3829280858,0,401(k)
3829280858,0,Disability insurance
3880374275,1,401(k)
3880374275,1,Vision insurance
3831148511,1,401(k)
3831148511,1,Dental insurance
3831148511,1,Medical insurance
3761818635,1,Dental insurance
3761818635,1,401(k)
3862107843,1,401(k)
3864519762,1,401(k)
3864519762,1,Dental insurance
3864519762,1,Medical insurance
3864519762,1,Vision insurance
3841003722,0,Medical insurance
3841003722,0,Vision insurance
3841003722,0,Child care support
3841003722,0,Paid paternity leave
3841003722,0,Disability insurance
229924287,0,Medical insurance
229924287,0,Dental insurance
229924287,0,Vision insurance
3855897428,0,Medical insurance
3855897428,0,Vision insurance
3855897428,0,Dental insurance
3855897428,0,401(k)
3713898217,0,Medical insurance
3713898217,0,Vision insurance
3713898217,0,Dental insurance
3713898217,0,401(k)
3713898217,0,Disability insurance
3189117072,1,Medical insurance
3189117072,1,Dental insurance
3189117072,1,401(k)
3797449314,0,Medical insurance
3797449314,0,Vision insurance
3797449314,0,Dental insurance
3797449314,0,401(k)
3797449314,0,Pension plan
3797449314,0,Tuition assistance
3797449314,0,Disability insurance
3802602037,0,Medical insurance
3802602037,0,Vision insurance
3802602037,0,Dental insurance
3802602037,0,401(k)
3802602037,0,Pension plan
3802602037,0,Tuition assistance
3802602037,0,Disability insurance
2790549389,1,401(k)
2790549389,1,Medical insurance
3627141928,0,Medical insurance
3627141928,0,Dental insurance
3627141928,0,401(k)
3870707329,1,Medical insurance
3878803731,0,Medical insurance
3878803731,0,Vision insurance
3878803731,0,Dental insurance
3694149664,1,401(k)
3694149664,1,Disability insurance
3694149664,1,Medical insurance
3694149664,1,Dental insurance
3829184899,0,Dental insurance
3829184899,1,Medical insurance
3860378018,1,Vision insurance
3860378018,1,401(k)
3835918209,0,Medical insurance
3835918209,0,Vision insurance
3835918209,0,Dental insurance
3835918209,0,401(k)
3835918209,0,Paid maternity leave
3835918209,0,Paid paternity leave
3835918209,0,Student loan assistance
3835918209,0,Disability insurance
3835918209,0,Tuition assistance
3864169730,0,Medical insurance
3864169730,0,Vision insurance
3864169730,0,Dental insurance
3744106614,0,Medical insurance
3744106614,0,Vision insurance
3744106614,0,Dental insurance
3744106614,0,401(k)
3744106614,0,Disability insurance
3823861441,0,Medical insurance
3823861441,0,Vision insurance
3823861441,0,Dental insurance
3823861441,0,401(k)
3826266913,1,Medical insurance
3826266913,1,401(k)
3868004859,0,Medical insurance
3868004859,0,Vision insurance
3868004859,0,Dental insurance
3868004859,0,401(k)
3868004859,0,Disability insurance
3868004859,0,Tuition assistance
3862982513,1,401(k)
3700064749,0,Medical insurance
3700064749,0,Vision insurance
3700064749,0,Dental insurance
3700064749,0,401(k)
3700064749,0,Pension plan
3700064749,0,Disability insurance
3700064749,0,Student loan assistance
3700064749,0,Commuter benefits
3875765946,0,Medical insurance
3875765946,0,Dental insurance
3875765946,0,Pension plan
3844096324,0,401(k)
